st_context,name,country,area_type,area_bound_yr,region,data_type,main_feature,year,year_start,year_end,uid,add_boundaries,local_file_src_chr,make_script_src,download_url_chr,file_type,file_name,inc_file_main_chr,inc_fls_to_rename_ls,new_nms_for_inc_fls_ls,data_repo,data_repo_ui,data_repo_db_ui,data_repo_file_ext,data_repo_save_type
Aus_16_31,NA,Australia,LGA,2011,National,Geometry,Boundary,2011,2011,2011,LGA_NAME11,NA,NA,NA,https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&1270055003_lga_2011_aust_shape.zip&1270.0.55.003&Data%20Cubes&4A320EE17A293459CA257937000CC967&0&July%202011&31.10.2011&Previous,.zip,1270055003_lga_2011_aust_shape,LGA_2011_AUST.shp,NA,NA,NA,NA,NA,NA,NA
Aus_16_31,NA,Australia,POA,2011,National,Geometry,Boundary,2011,2011,2011,POA_NAME,NA,NA,NA,https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&1270055003_poa_2011_aust_shape.zip&1270.0.55.003&Data%20Cubes&71B4572D909B934ECA2578D40012FE0D&0&July%202011&22.07.2011&Previous,.zip,1270055003_poa_2011_aust_shape,POA_2011_AUST.shp,NA,NA,NA,NA,NA,NA,NA
Aus_16_31,NA,Australia,CED,2018,National,Geometry,Boundary,2018,2018,2018,CED_NAME18,STE_NAME16,NA,NA,http://www.abs.gov.au/ausstats/subscriber.nsf/log?openagent&1270055003_ced_2018_aust_shp.zip&1270.0.55.003&Data%20Cubes&BF4D23C712D492CFCA2582F600180556&0&July%202018&28.08.2018&Latest,.zip,1270055003_ced_2018_aust_shp,CED_2018_AUST.shp,NA,NA,NA,NA,NA,NA,NA
Aus_16_31,NA,Australia,LGA,2016,National,Geometry,Boundary,2016,2016,2016,LGA_NAME16,NA,NA,NA,http://www.abs.gov.au/ausstats/subscriber.nsf/log?openagent&1270055003_lga_2016_aust_shape.zip&1270.0.55.003&Data%20Cubes&6A6A6E8944937276CA25802C00142DD2&0&July%202016&13.09.2016&Latest,.zip,1270055003_lga_2016_aust_shape,LGA_2016_AUST.shp,NA,NA,NA,NA,NA,NA,NA
Aus_16_31,NA,Australia,PHN,2017,National,Geometry,Boundary,2017,2017,2017,PHN_NAME,NA,NA,NA,http://www.health.gov.au/internet/main/publishing.nsf/Content/20FD74ABB14A1297CA257F150001FD3B/$File/PHN_boundaries_AUS_May2017_V7_Shapefile.zip,.zip,PHN_boundaries_AUS_May2017_V7_Shapefile,PHN_boundaries_AUS_May2017_V7.shp,NA,NA,NA,NA,NA,NA,NA
Aus_16_31,NA,Australia,POA,2016,National,Geometry,Boundary,2016,2016,2016,POA_NAME16,NA,NA,NA,https://www.abs.gov.au/ausstats/subscriber.nsf/log?openagent&1270055003_poa_2016_aust_shape.zip&1270.0.55.003&Data%20Cubes&4FB811FA48EECA7ACA25802C001432D0&0&July%202016&13.09.2016&Previous,.zip,1270055003_poa_2016_aust_shape,POA_2016_AUST.shp,NA,NA,NA,NA,NA,NA,NA
Aus_16_31,NA,Australia,SA1,2016,National,Geometry,Boundary,2016,2016,2016,SA1_7DIG16,NA,NA,NA,http://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&1270055001_sa1_2016_aust_shape.zip&1270.0.55.001&Data%20Cubes&6F308688D810CEF3CA257FED0013C62D&0&July%202016&12.07.2016&Latest,.zip,1270055001_sa1_2016_aust_shape,SA1_2016_AUST.shp,NA,NA,NA,NA,NA,NA,NA
Aus_16_31,NA,Australia,SA2,2016,National,Geometry,Boundary,2016,2016,2016,SA2_MAIN16,NA,NA,NA,http://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&1270055001_sa2_2016_aust_shape.zip&1270.0.55.001&Data%20Cubes&A09309ACB3FA50B8CA257FED0013D420&0&July%202016&12.07.2016&Latest,.zip,1270055001_sa2_2016_aust_shape,SA2_2016_AUST.shp,NA,NA,NA,NA,NA,NA,NA
Aus_16_31,NA,Australia,SA3,2011,National,Geometry,Boundary,2011,2011,2011,SA3_NAME11,NA,NA,NA,http://www.abs.gov.au/ausstats/subscriber.nsf/log?openagent&1270055001_sa3_2011_aust_shape.zip&1270.0.55.001&Data%20Cubes&AD2BD90E5DC0F4C7CA257801000D59E3&0&July%202011&23.12.2010&Latest,.zip,1270055001_sa3_2011_aust_shape,SA3_2011_AUST.shp,NA,NA,NA,NA,NA,NA,NA
Aus_16_31,NA,Australia,SA3,2016,National,Geometry,Boundary,2016,2016,2016,SA3_NAME16,NA,NA,NA,http://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&1270055001_sa3_2016_aust_shape.zip&1270.0.55.001&Data%20Cubes&43942523105745CBCA257FED0013DB07&0&July%202016&12.07.2016&Latest,.zip,1270055001_sa3_2016_aust_shape,SA3_2016_AUST.shp,NA,NA,NA,NA,NA,NA,NA
Aus_16_31,NA,Australia,SOS,2016,National,Geometry,Boundary,2016,2016,2016,SOS_NAME16,NA,NA,NA,https://www.abs.gov.au/ausstats/subscriber.nsf/log?openagent&1270055004_sos_2016_aust_shape.zip&1270.0.55.004&Data%20Cubes&9CF74264C4173008CA2581B1000E124F&0&July%202016&09.10.2017&Latest,.zip,1270055004_sos_2016_aust_shape,SOS_2016_AUST.shp,NA,NA,NA,NA,NA,NA,NA
Aus_16_31,NA,Australia,SSC,2016,National,Geometry,Boundary,2016,2016,2016,SSC_NAME16,NA,NA,NA,https://www.abs.gov.au/ausstats/subscriber.nsf/log?openagent&1270055003_ssc_2016_aust_shape.zip&1270.0.55.003&Data%20Cubes&5698C77C925DC4FACA25802C001439C5&0&July%202016&13.09.2016&Previous,.zip,1270055003_ssc_2016_aust_shape,SSC_2016_AUST.shp,NA,NA,NA,NA,NA,NA,NA
Aus_16_31,NA,Australia,STE,2016,National,Geometry,Boundary,2016,2016,2016,STE_NAME16,NA,NA,NA,http://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&1270055001_ste_2016_aust_shape.zip&1270.0.55.001&Data%20Cubes&65819049BE2EB089CA257FED0013E865&0&July%202016&12.07.2016&Latest,.zip,1270055001_ste_2016_aust_shape,STE_2016_AUST.shp,NA,NA,NA,NA,NA,NA,NA
Aus_16_31,NA,Australia,XX1,2016,National,Geometry,Boundary,2016,2014,2016,XX1_NAME16,"c(""STE_NAME16"",""LGA_NAME16"",""LGA_NAME11"", ""SA3_NAME16"")",NA,Aus_16_31_xx1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
